pid,spd,n,model,conv_div,conv_rhat,v,a,t0,t0_lo95,t0_hi95,pi,pi_lo95,pi_hi95,express_mode,express_mode_lo95,express_mode_hi95,reg_mode,reg_mode_lo95,reg_mode_hi95
CMT001,0,80,single,0,1.004,11.983,1.5808,78,70,99,,,,,,,,,
CMT0011,0,109,single,0,1.004,8.748,1.0966,71,70,75,,,,,,,,,
CMT0012,0,96,single,0,1.004,7.604,0.4157,73,70,78,,,,,,,,,
CMT0014,0,99,single,0,1.004,8.429,0.8098,70,70,71,,,,,,,,,
CMT0015,0,114,single,0,1.004,8.929,0.5938,110,93,119,,,,,,,,,
CMT0016,0,109,single,0,1.004,7.583,0.6875,70,70,72,,,,,,,,,
CMT0017,0,113,single,0,1.004,10.035,1.1237,71,70,76,,,,,,,,,
CMT002,0,116,single,0,1.004,7.148,0.4915,108,87,119,,,,,,,,,
CMT005,0,108,single,0,1.004,10.934,1.2582,84,70,109,,,,,,,,,
CMT007,0,109,single,0,1.004,6.713,0.6453,70,70,72,,,,,,,,,
CMT008,0,110,single,0,1.004,4.607,0.58,71,70,75,,,,,,,,,
CMT009,0,109,single,0,1.004,4.862,0.5339,70,70,72,,,,,,,,,
CMT010,0,118,single,0,1.004,10.402,1.1453,72,70,77,,,,,,,,,
CMT003,0,116,mixture,0,1.0,,,,,,0.442,0.274,0.604,161,142,177,192,186,198
CMT004,0,112,mixture,0,1.0,,,,,,0.557,0.343,0.745,155,139,165,185,179,192
CMT006,0,102,mixture,0,0.999,,,,,,0.465,0.096,0.882,165,140,189,207,186,237
CMT001,75,90,single,0,1.006,12.296,1.9098,74,70,87,,,,,,,,,
CMT0011,75,99,single,0,1.006,5.574,0.7737,70,70,71,,,,,,,,,
CMT0012,75,91,single,0,1.006,7.126,0.2926,86,77,90,,,,,,,,,
CMT0014,75,107,single,0,1.006,8.176,0.8655,70,70,72,,,,,,,,,
CMT0015,75,114,single,0,1.006,8.42,0.4575,127,110,135,,,,,,,,,
CMT0016,75,109,single,0,1.006,11.124,1.0194,74,70,87,,,,,,,,,
CMT0017,75,117,single,0,1.006,10.776,1.3282,76,70,96,,,,,,,,,
CMT005,75,109,single,0,1.006,7.151,0.8682,70,70,71,,,,,,,,,
CMT009,75,112,single,0,1.006,5.921,0.6662,71,70,73,,,,,,,,,
CMT010,75,117,single,0,1.006,7.737,0.9554,71,70,73,,,,,,,,,
CMT002,75,112,mixture,0,0.999,,,,,,0.417,0.245,0.661,154,143,174,220,208,234
CMT003,75,115,mixture,0,1.006,,,,,,0.31,0.16,0.503,146,129,166,194,187,200
CMT004,75,114,mixture,0,1.002,,,,,,0.638,0.442,0.805,143,133,155,187,175,194
CMT006,75,96,mixture,0,1.002,,,,,,0.114,0.008,0.802,117,77,175,177,170,189
CMT007,75,110,mixture,0,1.002,,,,,,0.374,0.081,0.632,149,102,173,194,181,204
CMT008,75,105,mixture,0,1.008,,,,,,0.598,0.285,0.824,174,145,204,265,223,288
CMT001,150,79,single,0,1.006,10.595,1.7478,73,70,80,,,,,,,,,
CMT0011,150,104,single,0,1.006,6.484,0.9113,70,70,71,,,,,,,,,
CMT0014,150,111,single,0,1.006,9.841,1.1202,72,70,80,,,,,,,,,
CMT0015,150,115,single,0,1.006,8.221,0.9141,70,70,71,,,,,,,,,
CMT0016,150,117,single,0,1.006,9.16,0.9386,71,70,77,,,,,,,,,
CMT0017,150,113,single,0,1.006,9.153,1.1649,71,70,72,,,,,,,,,
CMT002,150,113,single,0,1.006,8.155,1.0383,72,70,79,,,,,,,,,
CMT005,150,110,single,0,1.006,6.667,0.848,70,70,71,,,,,,,,,
CMT006,150,101,single,0,1.006,6.861,0.7265,71,70,72,,,,,,,,,
CMT009,150,110,single,0,1.006,6.081,0.6591,71,70,72,,,,,,,,,
CMT0012,150,88,mixture,0,1.0,,,,,,0.789,0.658,0.873,115,113,118,208,172,234
CMT003,150,115,mixture,0,1.003,,,,,,0.213,0.091,0.415,147,126,175,193,188,199
CMT004,150,113,mixture,0,1.0,,,,,,0.459,0.272,0.69,139,128,155,190,179,200
CMT007,150,112,mixture,0,1.0,,,,,,0.327,0.191,0.517,147,131,169,198,192,205
CMT008,150,109,mixture,0,1.004,,,,,,0.615,0.449,0.777,176,158,196,275,259,290
CMT010,150,117,mixture,0,1.001,,,,,,0.099,0.021,0.38,152,117,201,206,200,212
